Plane	Strip	Shift
16	24	-258.829
16	25	-258.767
16	26	-258.603
16	27	-258.994
16	28	-258.887
16	29	-258.211
16	30	-258.78
16	31	-258.852
16	32	-258.478
16	33	-258.355
16	34	-258.724
16	35	-258.023
16	36	-258.117
16	37	-257.782
16	38	-258.48
16	39	-257.929
16	40	-258.492
16	41	-258.324
16	42	-258.117
16	43	-258.448
16	44	-258.536
16	45	-258.539
16	46	-258.853
16	47	-666
17	0	-666
17	1	-253.707
17	2	-253.753
17	3	-253.992
17	4	-253.605
17	5	-253.554
17	6	-253.511
17	7	-253.63
17	8	-253.403
17	9	-253.289
17	10	-253.403
17	11	-253.287
17	12	-253.307
17	13	-253.417
17	14	-253.559
17	15	-253.651
17	16	-253.476
17	17	-253.685
17	18	-253.438
17	19	-253.67
17	20	-253.662
17	21	-253.362
17	22	-253.983
17	23	-253.769
17	24	-254.086
17	25	-254.191
17	26	-253.856
17	27	-254.021
17	28	-253.764
17	29	-254.081
17	30	-253.804
17	31	-254.039
17	32	-253.745
17	33	-253.748
17	34	-253.476
17	35	-253.404
17	36	-253.539
17	37	-253.818
17	38	-253.701
17	39	-253.94
17	40	-253.438
17	41	-253.57
17	42	-253.242
17	43	-253.207
17	44	-253.754
17	45	-253.64
17	46	-253.86
17	47	-666
18	0	-666
18	1	-253.415
18	2	-253.304
18	3	-253.555
18	4	-253.554
18	5	-253.61
18	6	-253.406
18	7	-253.37
18	8	-251.882
18	9	-253.026
18	10	-253.211
18	11	-253.09
18	12	-253.204
18	13	-253.287
18	14	-253.215
18	15	-253.504
18	16	-253.336
18	17	-253.127
18	18	-253.331
18	19	-252.661
18	20	-253.322
18	21	-253.711
18	22	-253.517
18	23	-253.583
18	24	-666
18	25	-666
18	26	-666
18	27	-666
18	28	-666
18	29	-666
18	30	-666
18	31	-666
18	32	-253.42
18	33	-252.773
18	34	-253.404
18	35	-252.92
18	36	-253.476
18	37	-253.286
18	38	-666
18	39	-253.415
18	40	-253.097
18	41	-253.617
18	42	-253.095
18	43	-253.664
18	44	-253.386
18	45	-253.584
18	46	-253.696
18	47	-666
19	0	-666
19	1	-252.978
19	2	-252.698
19	3	-252.707
19	4	-252.586
19	5	-252.926
19	6	-252.83
19	7	-252.826
19	8	-252.818
19	9	-252.731
19	10	-252.445
19	11	-252.946
19	12	-251.809
19	13	-252.754
19	14	-252.902
19	15	-252.679
19	16	-252.756
19	17	-252.867
19	18	-252.092
19	19	-252.572
19	20	-252.979
19	21	-252.777
19	22	-253.023
19	23	-252.961
19	24	-253.319
19	25	-253.273
19	26	-253.172
19	27	-253.228
